epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7162,3.09547,7.87468,4.22856,4.27622,0.00793,0.63787,0.01119,0.00615,0.00255,0.22978,0.00576,0.00189,2.82622,5.20725,3.8613,4.15677,0.000359441,0.000359441,0.000359441
2,23.0647,3.03293,6.52114,4.1807,4.24451,0.00862,0.625,0.01267,0.00482,0.00292,0.22978,0.00223,0.00066,2.78309,5.1829,3.89054,4.11417,0.000729052,0.000729052,0.000729052
3,32.8585,3.03583,5.02819,4.14134,4.14531,0.00931,0.67096,0.01101,0.00386,0.00296,0.22978,0.00236,0.00053,2.75695,5.36199,3.92166,4.09574,0.00109793,0.00109793,0.00109793
4,42.9288,3.08614,4.9446,4.07097,4.11085,0.00685,0.38603,0.02455,0.00375,0.00229,0.23346,0.00313,0.00066,3.03139,9.66903,7.01129,4.06152,0.0011077,0.0011077,0.0011077
5,53.1098,3.025,4.6888,3.9711,4.07022,0.85063,0.01471,0.02766,0.00743,0.00487,0.33272,0.00464,0.00114,3.06023,7.36982,26.0985,4.75015,0.0011066,0.0011066,0.0011066
6,63.5838,3.01064,4.48971,3.8393,3.98775,0.57417,0.07353,0.03648,0.00918,0.5447,0.04412,0.01343,0.00282,3.18889,12.5757,8.37825,5.54695,0.0011055,0.0011055,0.0011055
7,73.9208,3.07522,4.34602,3.88235,3.91862,0.56553,0.16176,0.07098,0.02153,0.55368,0.10294,0.04757,0.0148,3.05424,6.64207,3.85275,4.35274,0.0011044,0.0011044,0.0011044
8,84.1213,3.03443,4.10125,3.74096,3.81323,0.54492,0.17647,0.05118,0.01927,0.53562,0.13235,0.02702,0.00609,3.0422,9.78038,17.4478,4.68552,0.0011033,0.0011033,0.0011033
9,94.2679,2.95451,4.20314,3.71805,3.74526,0.51734,0.14706,0.01909,0.00543,0.50576,0.11765,0.00622,0.00161,3.07369,9.73872,11.8481,5.52044,0.0011022,0.0011022,0.0011022
10,104.206,2.92254,3.99986,3.65745,3.65832,0.59009,0.10294,0.05993,0.016,0.58039,0.10294,0.04199,0.00782,2.88374,5.27192,4.40079,4.04038,0.0011011,0.0011011,0.0011011
11,114.259,2.96858,4.01974,3.69833,3.63866,0.6157,0.07353,0.06761,0.01652,0.59256,0.05882,0.05292,0.01452,2.89556,4.66394,6.54136,4.04996,0.0011,0.0011,0.0011
12,124.412,2.85851,3.94813,3.53338,3.54958,0.58174,0.16176,0.07613,0.02081,0.58597,0.1222,0.082,0.02589,2.93398,4.55174,5.18888,3.8521,0.0010989,0.0010989,0.0010989
13,134.611,2.88164,3.86893,3.56924,3.53401,0.75998,0.07353,0.08662,0.02255,0.78304,0.07353,0.07958,0.02668,2.94058,4.32121,4.51422,3.67198,0.0010978,0.0010978,0.0010978
14,144.925,2.90781,3.83411,3.57783,3.53198,0.59009,0.07353,0.07324,0.0231,0.58172,0.07353,0.06962,0.02148,2.80126,4.53021,4.57878,3.63814,0.0010967,0.0010967,0.0010967
