epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8836,0.64733,1.04305,0.73153,1.21852,0.92516,0.74334,0.86272,0.71098,0.90662,0.72872,0.82281,0.6214,0.86391,3.01066,1.04715,1.54483,0.00025553,0.00025553,0.00025553
2,21.4426,0.6291,1.02687,0.66085,1.2109,0.91881,0.69433,0.8326,0.67723,0.78272,0.73211,0.76575,0.57565,1.04825,2.5862,1.16301,1.70112,0.000521653,0.000521653,0.000521653
3,30.5745,0.63966,1.05172,0.69795,1.19983,0.84759,0.81594,0.88954,0.70408,0.7935,0.77182,0.8252,0.58587,0.92997,2.63884,1.16598,1.60502,0.000787248,0.000787248,0.000787248
4,39.5539,0.68521,1.07492,0.67395,1.24299,0.85482,0.68093,0.8022,0.65131,0.83466,0.66623,0.78146,0.5637,1.00878,3.12794,1.37423,1.70874,0.00105232,0.00105232,0.00105232
5,48.5183,0.72628,1.17483,0.75165,1.28173,0.77119,0.69111,0.76171,0.57243,0.77206,0.68994,0.73886,0.53022,1.07586,2.91338,1.55162,1.73603,0.0011066,0.0011066,0.0011066
6,57.5608,0.69138,1.13252,0.70452,1.24993,0.9155,0.68382,0.77731,0.58489,0.89484,0.66912,0.75126,0.53169,1.15629,3.02923,1.31329,1.864,0.0011055,0.0011055,0.0011055
7,66.5972,0.70698,1.07308,0.73957,1.2466,0.85669,0.75753,0.80131,0.63244,0.83938,0.74282,0.77325,0.53165,0.98546,2.92315,1.27003,1.58596,0.0011044,0.0011044,0.0011044
8,75.5411,0.69782,1.15109,0.75724,1.2381,0.74845,0.84178,0.8672,0.66468,0.77281,0.7886,0.78188,0.57414,0.88043,3.06514,1.12934,1.48849,0.0011033,0.0011033,0.0011033
9,84.6399,0.6962,1.13422,0.71844,1.24079,0.84531,0.77574,0.85402,0.69987,0.75253,0.8,0.79462,0.58307,0.86279,3.02289,1.11524,1.47933,0.0011022,0.0011022,0.0011022
10,93.7981,0.70677,1.16914,0.77685,1.25869,0.79938,0.77067,0.8485,0.60778,0.7452,0.72715,0.77138,0.51021,1.04319,2.57913,1.2976,1.72257,0.0011011,0.0011011,0.0011011
11,102.606,0.6221,1.0915,0.70716,1.19826,0.8998,0.70833,0.81675,0.57767,0.77102,0.72431,0.75362,0.50506,1.07216,2.6569,1.37283,1.74853,0.0011,0.0011,0.0011
12,111.594,0.62652,1.11129,0.67235,1.21381,0.95247,0.65441,0.80737,0.60475,0.90244,0.625,0.75511,0.51628,0.98319,2.85113,1.28619,1.68614,0.0010989,0.0010989,0.0010989
13,120.918,0.66193,1.17649,0.71892,1.22116,0.77985,0.69099,0.72805,0.55892,0.76494,0.67628,0.69755,0.48077,0.94682,2.72672,1.54646,1.5492,0.0010978,0.0010978,0.0010978
14,130.108,0.70521,1.12193,0.76242,1.24885,0.78274,0.74265,0.74207,0.58314,0.7548,0.72794,0.70719,0.50072,0.95046,2.85351,1.78636,1.60159,0.0010967,0.0010967,0.0010967
15,139.285,0.65747,1.0994,0.72464,1.20255,0.84782,0.81582,0.85535,0.66547,0.77014,0.74081,0.73272,0.54235,0.92081,2.74419,1.13724,1.55774,0.0010956,0.0010956,0.0010956
16,148.153,0.6524,1.15144,0.72387,1.19802,0.87298,0.62316,0.77412,0.59199,0.82818,0.59375,0.71817,0.51751,1.15163,3.08158,1.21598,1.89815,0.0010945,0.0010945,0.0010945
17,160.629,0.69241,1.15793,0.76807,1.25455,0.80463,0.75181,0.74509,0.55914,0.80904,0.73694,0.72654,0.52995,1.07667,2.77447,1.45754,1.83024,0.0010934,0.0010934,0.0010934
18,169.925,0.68673,1.14227,0.7133,1.22177,0.82644,0.77449,0.79816,0.60044,0.79179,0.74534,0.75815,0.55802,0.99352,2.66171,1.2911,1.64005,0.0010923,0.0010923,0.0010923
19,3593.24,0.69202,1.29307,0.78638,1.23809,0.7988,0.70422,0.78099,0.60398,0.74973,0.66222,0.72297,0.52855,1.01237,2.89207,1.31358,1.66393,0.0010912,0.0010912,0.0010912
20,3602.34,0.69121,1.16058,0.75582,1.24524,0.80592,0.7874,0.82966,0.63429,0.74627,0.7724,0.75422,0.53474,0.98858,2.51457,1.09625,1.67204,0.0010901,0.0010901,0.0010901
21,3611.8,0.71603,1.24256,0.78385,1.24358,0.89535,0.62012,0.73707,0.54299,0.87444,0.6056,0.69102,0.49145,1.15562,2.77297,1.76525,1.75165,0.001089,0.001089,0.001089
22,3620.75,0.68069,1.12492,0.74116,1.23767,0.80087,0.79799,0.85187,0.63377,0.72363,0.77607,0.76183,0.54776,0.9878,2.67066,1.16331,1.68421,0.0010879,0.0010879,0.0010879
23,3629.81,0.61517,1.03495,0.69203,1.20659,0.81917,0.77299,0.80928,0.62766,0.76516,0.72894,0.74189,0.56629,1.08399,3.02689,1.27052,1.73422,0.0010868,0.0010868,0.0010868
24,3638.9,0.6281,1.10692,0.72232,1.20356,0.7939,0.84926,0.83043,0.57471,0.75619,0.80515,0.77291,0.51047,1.10013,2.83671,1.41578,1.78774,0.0010857,0.0010857,0.0010857
25,3648.02,0.66099,1.18568,0.73332,1.21111,0.87371,0.7739,0.89888,0.68242,0.77248,0.83282,0.87798,0.59707,0.9565,2.4103,0.97278,1.56221,0.0010846,0.0010846,0.0010846
26,3656.81,0.65649,1.17324,0.74464,1.21727,0.92122,0.66912,0.83273,0.64022,0.84957,0.625,0.77544,0.5463,0.96641,3.15383,1.12322,1.60398,0.0010835,0.0010835,0.0010835
27,3665.68,0.60147,1.10299,0.67063,1.16317,0.93455,0.76379,0.86148,0.62711,0.87361,0.75751,0.83345,0.53484,1.12299,3.06807,1.04299,1.77229,0.0010824,0.0010824,0.0010824
28,3674.78,0.65271,1.16756,0.69525,1.19877,0.80177,0.67649,0.73786,0.57496,0.76573,0.64708,0.69575,0.49518,1.1378,3.38988,1.63838,1.77534,0.0010813,0.0010813,0.0010813
29,3683.93,0.66764,1.07533,0.7293,1.21048,0.81584,0.6898,0.79043,0.64005,0.79205,0.66451,0.75711,0.54489,0.93833,2.82098,1.51873,1.61043,0.0010802,0.0010802,0.0010802
30,3692.96,0.63914,1.02757,0.70135,1.20077,0.84296,0.77294,0.87187,0.69478,0.81561,0.74353,0.81652,0.5695,0.87652,2.51398,1.07397,1.50865,0.0010791,0.0010791,0.0010791
31,3702.1,0.67724,1.16221,0.76652,1.22385,0.80236,0.75028,0.77458,0.58386,0.76024,0.6875,0.71291,0.47409,0.99938,3.14999,1.75492,1.62065,0.001078,0.001078,0.001078
32,3710.96,0.67491,1.19073,0.71993,1.19694,0.7707,0.75735,0.8269,0.65577,0.7707,0.75735,0.79643,0.51956,0.9025,2.93811,1.17347,1.52569,0.0010769,0.0010769,0.0010769
33,3720.41,0.65468,1.16118,0.73288,1.19902,0.8697,0.72794,0.85362,0.67149,0.83418,0.69853,0.78144,0.53524,0.9006,2.72118,1.04679,1.58157,0.0010758,0.0010758,0.0010758
34,3729.65,0.65878,1.10763,0.75391,1.21448,0.87762,0.71324,0.73007,0.5542,0.8607,0.69853,0.68207,0.47721,1.08512,3.09589,1.42258,1.90701,0.0010747,0.0010747,0.0010747
35,3738.56,0.65331,1.17721,0.69722,1.21831,0.88839,0.73133,0.791,0.59647,0.85652,0.70211,0.7353,0.53044,1.01965,2.95209,1.44213,1.7815,0.0010736,0.0010736,0.0010736
36,3747.64,0.63199,1.02781,0.6682,1.18956,0.92223,0.68382,0.83103,0.65521,0.92223,0.68382,0.8023,0.52927,0.89603,2.90956,1.26617,1.60725,0.0010725,0.0010725,0.0010725
