epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.5964,1.16496,3.82544,5.75908,1.58256,0.72331,0.59226,0.65339,0.43149,0.69365,0.56285,0.63436,0.40612,1.02386,1.40707,5.11508,1.51573,0.0001111,0.0001111,0.0001111
2,42.7657,0.75555,1.7816,2.83458,1.31246,0.49269,0.81618,0.71525,0.55828,0.46612,0.77206,0.69188,0.4832,0.71647,1.49396,6.41231,1.28582,0.000210212,0.000210212,0.000210212
3,49.4054,0.72732,1.31959,2.20238,1.26402,0.86557,0.56914,0.63749,0.42038,0.82668,0.51103,0.58009,0.34618,1.53083,1.81185,3.03112,2.69311,0.000285127,0.000285127,0.000285127
4,55.8577,0.69084,1.28589,1.82733,1.2019,0.68617,0.69669,0.80289,0.59048,0.68816,0.69669,0.77534,0.41859,0.89143,2.53647,4.41775,1.55227,0.000335844,0.000335844,0.000335844
5,62.2611,0.70038,1.19656,1.57469,1.23212,0.79589,0.68953,0.82019,0.52103,0.73078,0.64469,0.70314,0.4242,1.03632,2.69791,2.91759,1.68432,0.000362364,0.000362364,0.000362364
6,68.7472,0.67078,1.14763,1.36173,1.2297,0.85367,0.72981,0.78418,0.59851,0.82626,0.71434,0.73166,0.47044,0.93765,2.29595,3.15746,1.58277,0.000364686,0.000364686,0.000364686
7,75.5502,0.67027,1.11429,1.19291,1.16914,0.74168,0.75368,0.75734,0.55469,0.67684,0.69301,0.70282,0.45781,0.82568,1.86363,1.78351,1.34395,0.00034281,0.00034281,0.00034281
8,82.9185,0.60463,1.03041,1.1487,1.14619,0.93739,0.7835,0.86146,0.56673,0.8647,0.7255,0.82287,0.5628,1.20021,1.83434,2.14269,1.99887,0.000296737,0.000296737,0.000296737
9,90.046,0.61008,0.90305,0.96882,1.10598,0.85915,0.814,0.87386,0.60369,0.80195,0.79624,0.82627,0.58533,1.01794,1.88014,1.92661,1.62772,0.000226466,0.000226466,0.000226466
10,96.5734,0.50377,0.83089,0.882,1.03273,0.94592,0.80515,0.90562,0.69235,0.8777,0.84542,0.88085,0.64296,0.82312,1.63251,1.15723,1.42603,0.000121099,0.000121099,0.000121099
