epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1353,3.10786,8.36707,4.23016,4.27136,0.00831,0.59375,0.01246,0.00516,0.00291,0.22978,0.00396,0.00081,2.82151,5.20812,3.86555,4.14804,0.000359441,0.000359441,0.000359441
2,21.6774,3.1061,5.88976,4.15409,4.20554,0.00883,0.63971,0.01219,0.00407,0.0029,0.22978,0.00194,0.00055,2.79679,5.18163,3.84564,4.10911,0.000729052,0.000729052,0.000729052
3,31.06,3.09613,4.97603,4.11824,4.12982,0.00841,0.66912,0.01197,0.00383,0.00233,0.21507,0.00207,0.00059,2.87206,6.00675,3.72505,4.14629,0.00109793,0.00109793,0.00109793
4,40.115,2.9405,4.80939,4.01711,4.062,0.00957,0.76103,0.01974,0.00746,0.00292,0.24449,0.00338,0.00078,2.76369,5.28824,4.11774,4.04463,0.0011077,0.0011077,0.0011077
5,49.3912,2.85189,4.50394,3.94367,3.96663,0.01099,0.65441,0.02478,0.00777,0.00816,0.42096,0.01973,0.00476,2.77256,5.07991,3.95879,4.03897,0.0011066,0.0011066,0.0011066
6,58.5549,2.8877,4.3796,3.78694,3.84269,0.02375,0.01471,0.00607,0.00206,0.00153,0.25,0.00115,0.00033,2.96106,8.95999,22.692,4.18704,0.0011055,0.0011055,0.0011055
7,67.866,2.86642,4.08045,3.82412,3.76166,0.00815,0.5,0.00998,0.00285,0.50482,0.05882,0.00393,0.00138,2.99888,9.7214,4.85064,4.24412,0.0011044,0.0011044,0.0011044
8,76.938,2.83852,4.05689,3.76164,3.68124,0.53967,0.08824,0.06578,0.01976,0.54315,0.07353,0.04416,0.01139,2.85491,5.47907,4.87775,3.84555,0.0011033,0.0011033,0.0011033
9,86.1981,2.82951,4.12578,3.66189,3.58635,0.56846,0.11765,0.10738,0.02905,0.57164,0.09353,0.12663,0.03573,2.74158,4.82228,3.95728,3.69872,0.0011022,0.0011022,0.0011022
10,95.572,2.72531,4.01626,3.61913,3.51335,0.63696,0.16176,0.21263,0.05444,0.60964,0.13235,0.1335,0.04472,2.68735,4.23555,3.70569,3.57578,0.0011011,0.0011011,0.0011011
11,104.92,2.73084,4.01243,3.58446,3.47357,0.68639,0.15743,0.15147,0.04543,0.66465,0.13235,0.10361,0.03751,2.66424,4.53023,3.90858,3.69348,0.0011,0.0011,0.0011
12,114.164,2.64602,3.8799,3.62211,3.44185,0.64758,0.19118,0.15779,0.05048,0.59477,0.13235,0.09787,0.03709,2.78837,4.52017,4.48355,3.60943,0.0010989,0.0010989,0.0010989
13,123.496,2.67329,3.93035,3.61377,3.41139,0.5936,0.08824,0.1024,0.02404,0.68735,0.08813,0.10624,0.03115,2.78887,4.06625,3.38053,3.63375,0.0010978,0.0010978,0.0010978
14,132.757,2.7291,3.88514,3.60857,3.36007,0.64387,0.14706,0.20251,0.0539,0.59914,0.14706,0.16728,0.05218,2.73311,4.0363,3.32466,3.5492,0.0010967,0.0010967,0.0010967
15,142.098,2.62754,3.92503,3.54481,3.29427,0.67425,0.15744,0.12947,0.03769,0.58948,0.14706,0.10595,0.02994,2.68842,4.15801,3.32988,3.59653,0.0010956,0.0010956,0.0010956
16,151.364,2.70783,3.70899,3.50666,3.3332,0.64512,0.14706,0.12985,0.03442,0.65963,0.16176,0.13986,0.03432,2.71991,4.03282,3.28352,3.53874,0.0010945,0.0010945,0.0010945
