epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1042,3.04974,10.0108,4.24906,4.3013,0.00724,0.72978,0.00728,0.00276,0.00142,0.16912,0.00098,0.00023,2.76853,5.20925,3.8963,4.15752,0.0001111,0.0001111,0.0001111
2,20.7234,2.98293,7.43334,4.19693,4.24188,0.00216,0.375,0.01548,0.00295,0.00072,0.125,0.00073,0.00018,2.7635,5.20654,3.89673,4.14442,0.000233079,0.000233079,0.000233079
3,29.131,3.00337,5.52396,4.14129,4.17856,0.00762,0.69853,0.00808,0.00319,0.00147,0.16912,0.00093,0.00023,2.74627,5.1987,3.90583,4.09891,0.000354816,0.000354816,0.000354816
4,37.3321,3.08228,4.92956,4.05185,4.11934,0.00681,0.71324,0.01939,0.00722,0.00152,0.20037,0.00382,0.00102,2.71054,5.17863,3.93495,3.96253,0.000476311,0.000476311,0.000476311
5,45.9464,3.05699,4.75535,4.06004,4.06432,0.001,0.0625,0.00076,0.00017,0.0005,0.03125,0.00029,3e-05,3.2487,5.21473,4.59861,4.3175,0.000597564,0.000597564,0.000597564
6,54.3375,3.03729,4.51208,3.93568,3.9992,0.00528,0.69853,0.07431,0.01443,0.00191,0.30699,0.01308,0.00198,3.1028,5.19698,3.88051,3.96537,0.000718575,0.000718575,0.000718575
7,62.6752,2.85363,4.35819,3.85808,3.85747,0.00711,0.68382,0.02437,0.00812,0.00143,0.16912,0.00405,0.00117,2.68339,5.74777,3.74563,4.01613,0.000839345,0.000839345,0.000839345
8,70.8168,2.94469,4.25832,3.74735,3.78093,0.00298,0.34375,0.0065,0.00263,0.00081,0.09375,0.00113,0.00024,2.9838,8.46355,4.0456,5.17601,0.000959872,0.000959872,0.000959872
9,79.0874,2.80902,4.06735,3.67213,3.68699,0.00323,0.34375,0.00467,0.00205,0.00088,0.09375,0.00065,0.00016,3.0932,11.1879,4.14876,5.935,0.00108016,0.00108016,0.00108016
10,87.5554,2.8957,4.07039,3.67528,3.62523,0.02158,0.32537,0.01325,0.00324,0.00083,0.0625,0.00047,0.00012,3.01302,17.6378,4.48584,5.05325,0.0011011,0.0011011,0.0011011
11,95.9514,2.72578,3.97019,3.61305,3.55352,0.6863,0.07353,0.09071,0.03334,0.00112,0.09191,0.00159,0.00039,2.67379,22.4096,3.76938,4.34641,0.0011,0.0011,0.0011
12,104.241,2.72507,3.97593,3.53513,3.47187,0.67109,0.14706,0.17904,0.06408,0.00346,0.26287,0.02444,0.00365,2.74568,6.32341,3.41712,3.91739,0.0010989,0.0010989,0.0010989
13,112.538,2.71582,3.77511,3.57439,3.44244,0.63871,0.17647,0.18621,0.07675,0.51264,0.02941,0.04498,0.00617,2.53185,7.00639,3.20993,3.50469,0.0010978,0.0010978,0.0010978
14,120.88,2.76608,3.84833,3.49406,3.37972,0.63306,0.19118,0.12757,0.05017,0.58212,0.11765,0.0626,0.00934,2.54561,6.93069,3.18994,3.9175,0.0010967,0.0010967,0.0010967
15,129.167,2.71164,3.77771,3.45399,3.34917,0.64211,0.19118,0.1354,0.03837,0.60192,0.13235,0.07218,0.01378,2.5257,5.82474,3.73733,4.04168,0.0010956,0.0010956,0.0010956
16,137.384,2.75295,3.78965,3.41189,3.33105,0.63791,0.19118,0.1519,0.05165,0.62553,0.11765,0.10898,0.03054,2.7217,5.20718,4.1111,4.29479,0.0010945,0.0010945,0.0010945
17,145.663,2.73768,3.66936,3.49096,3.32382,0.66573,0.19118,0.12699,0.03193,0.62203,0.14706,0.10162,0.03023,2.77328,4.49093,3.2234,3.89366,0.0010934,0.0010934,0.0010934
18,153.803,2.65937,3.64578,3.34835,3.24654,0.71807,0.10241,0.12899,0.03081,0.67054,0.07626,0.08834,0.02709,2.82297,4.47381,3.17227,3.75083,0.0010923,0.0010923,0.0010923
19,161.932,2.67967,3.77256,3.34062,3.28202,0.70568,0.08824,0.17832,0.04792,0.64216,0.10294,0.11036,0.0424,2.95385,4.92976,4.98308,3.74635,0.0010912,0.0010912,0.0010912
