epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.7328,2.71013,11.5692,4.65174,4.35108,0.01527,0.41912,0.00986,0.00254,0.00074,0.125,0.00049,0.00017,2.76826,5.20952,3.89597,4.15847,0.0001111,0.0001111,0.0001111
2,56.9769,2.58635,7.90158,4.60368,4.30032,0.00235,0.375,0.00251,0.00105,0.00059,0.09375,0.00039,0.00015,2.76763,5.20762,3.90087,4.15407,0.000210212,0.000210212,0.000210212
3,65.4549,2.74853,5.73137,4.49459,4.22624,0.00222,0.375,0.00354,0.00144,0.00074,0.125,0.00088,0.00028,2.76872,5.2038,3.90372,4.14374,0.000285127,0.000285127,0.000285127
4,108.281,2.64657,5.08864,4.38399,4.12561,0.00697,0.72794,0.01056,0.00352,0.00135,0.16912,0.00109,0.00026,2.76294,5.1917,3.90286,4.11784,0.000335844,0.000335844,0.000335844
5,116.448,2.65292,4.95269,4.24536,4.07,0.00758,0.53676,0.00978,0.00431,0.00072,0.125,0.00148,0.00034,2.76551,5.17462,3.8554,4.1074,0.000362364,0.000362364,0.000362364
6,124.891,2.64067,4.70677,4.16039,3.98926,0.00619,0.41912,0.00902,0.00323,0.00072,0.125,0.00086,0.00024,2.73232,5.17589,3.73894,4.057,0.000364686,0.000364686,0.000364686
7,133.233,2.62092,4.53256,4.02295,3.90506,0.00453,0.45037,0.0065,0.00218,0.00072,0.125,0.00086,0.0003,2.70982,5.17905,3.74511,4.05826,0.00034281,0.00034281,0.00034281
8,141.489,2.53865,4.43308,3.93072,3.76329,0.00781,0.71507,0.03158,0.01014,0.00124,0.15441,0.00504,0.00133,2.71969,5.32482,3.7008,4.20454,0.000296737,0.000296737,0.000296737
9,149.754,2.54488,4.28951,3.87018,3.74368,0.00671,0.68382,0.03574,0.01328,0.00119,0.13787,0.00939,0.00318,2.72439,5.4618,3.64926,4.2377,0.000226466,0.000226466,0.000226466
10,157.921,2.51113,4.18404,3.79515,3.68167,0.00636,0.70037,0.03837,0.01165,0.00112,0.15441,0.00563,0.00209,2.70745,5.44479,3.60699,4.09415,0.000121099,0.000121099,0.000121099
